+====================+===================+==============================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                          |
+====================+===================+==============================================================+
| ap_clk             | ap_clk            | u_fp32_add_flopoco/deltaExp_d1_reg[0]/D                      |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/deltaExp_d1_reg[5]/D                      |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/deltaExp_d1_reg[4]/D                      |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/deltaExp_d1_reg[3]/D                      |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/deltaExp_d1_reg[1]/D                      |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/RightShifterComponent/level2_d1_reg[12]/D |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/RightShifterComponent/level2_d1_reg[8]/D  |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/RightShifterComponent/level2_d1_reg[9]/D  |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/roundingAdder/X_d1_reg[1]/D               |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/RightShifterComponent/level2_d1_reg[6]/D  |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/RightShifterComponent/level4_d1_reg[5]/D  |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/RightShifterComponent/level2_d1_reg[7]/D  |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/RightShifterComponent/level2_d1_reg[20]/D |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/normalizedSignificand_d1_reg[1]/D         |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/RightShifterComponent/level4_d1_reg[0]/D  |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/RightShifterComponent/level2_d1_reg[16]/D |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/RightShifterComponent/level4_d1_reg[2]/D  |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/RightShifterComponent/level4_d1_reg[6]/D  |
| ap_clk             | ap_clk            | u_fp32_add_flopoco/RightShifterComponent/level4_d1_reg[3]/D  |
+--------------------+-------------------+--------------------------------------------------------------+
