+====================+===================+=======================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                   |
+====================+===================+=======================================================+
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/exp_23_reg_226_reg[6]/D     |
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/norm24_22_reg_281_reg[21]/D |
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/norm24_22_reg_281_reg[18]/D |
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/norm24_22_reg_281_reg[16]/D |
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/norm24_22_reg_281_reg[12]/D |
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/exp_23_reg_226_reg[7]/D     |
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/norm24_22_reg_281_reg[6]/D  |
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/norm24_22_reg_281_reg[8]/D  |
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/norm24_22_reg_281_reg[22]/D |
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/norm24_22_reg_281_reg[2]/D  |
| ap_clk             | ap_clk            | lshr_24ns_8ns_24_2_1_U4/buff0_reg[7]/D                |
| ap_clk             | ap_clk            | lshr_24ns_8ns_24_2_1_U4/buff0_reg[8]/D                |
| ap_clk             | ap_clk            | lshr_24ns_8ns_24_2_1_U5/buff0_reg[12]/D               |
| ap_clk             | ap_clk            | lshr_24ns_8ns_24_2_1_U5/buff0_reg[4]/D                |
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/norm24_22_reg_281_reg[13]/D |
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/norm24_22_reg_281_reg[9]/D  |
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/norm24_22_reg_281_reg[11]/D |
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/norm24_22_reg_281_reg[1]/D  |
| ap_clk             | ap_clk            | lshr_24ns_8ns_24_2_1_U5/buff0_reg[8]/D                |
| ap_clk             | ap_clk            | grp_fp32_normaliser_fu_90/norm24_22_reg_281_reg[10]/D |
+--------------------+-------------------+-------------------------------------------------------+
