benchmark,synth_target,component,timeout,num_iterations,repetition,driver_returncode,run_status,component_solve_status,solution_found,accepted_constraints,total_constraints,solver_attempts,solver_runtime_seconds_total,solver_runtime_seconds_max,enum_count_primary_total,enum_count_primary_last,wall_seconds,random_seed,luts,ffs,dsps,fmax_mhz,latency_ns,adp_lut_ns,accuracy_exact_match,within_rel_pct,abs_err_avg,abs_err_max,summary_path,log_path
mxint8_add_v2,mxint8_add,full_sum_v2,30,15,1,0,solved,solved,True,8,15,15,53.53302889689803,30.048546655103564,173295,70949,95.62031650543213,42,693,0,0,45.869,21.8012,15108.231600000001,-1.0,-1.0,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t30_i15_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t30_i15_r01.log
mxint8_add_v2,mxint8_add,full_sum_v2,30,15,2,0,solved,solved,True,7,15,15,146.82822789810598,30.04726330190897,581679,153574,188.8761637210846,43,523,0,0,43.812,22.8248,11937.3704,-1.0,-1.0,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t30_i15_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t30_i15_r02.log
mxint8_add_v2,mxint8_add,full_sum_v2,30,15,3,0,solved,solved,True,9,15,15,198.7815553434193,30.04692775569856,481503,138132,240.90633010864258,44,780,0,0,45.169,22.1391,17268.498,-1.0,-1.0,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t30_i15_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t30_i15_r03.log
mxint8_add_v2,mxint8_add,full_sum_v2,30,30,1,0,solved,solved,True,13,30,30,441.67702076397836,30.04856281541288,598485,115654,483.5080225467682,42,697,0,0,45.869,21.8012,15195.4364,-1.0,-1.0,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t30_i30_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t30_i30_r01.log
mxint8_add_v2,mxint8_add,full_sum_v2,30,30,2,0,solved,solved,True,7,30,30,596.2051177900285,30.04869175516069,581679,153574,638.2526998519897,43,523,0,0,43.812,22.8248,11937.3704,-1.0,-1.0,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t30_i30_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t30_i30_r02.log
mxint8_add_v2,mxint8_add,full_sum_v2,30,30,3,0,solved,solved,True,11,30,30,646.3013239372522,30.048176258802414,760885,139796,688.3282816410065,44,780,0,0,45.169,22.1391,17268.498,-1.0,-1.0,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t30_i30_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t30_i30_r03.log
mxint8_add_v2,mxint8_add,full_sum_v2,60,15,1,0,solved,solved,True,8,15,15,161.79629321023822,60.036339873448014,599847,254733,203.90258598327637,42,723,0,0,42.569,23.4913,16984.209899999998,-1.0,-1.0,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t60_i15_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t60_i15_r01.log
mxint8_add_v2,mxint8_add,full_sum_v2,60,15,2,0,solved,solved,True,8,15,15,196.73676240071654,60.090936832129955,834741,253062,238.8001673221588,43,752,0,0,43.812,22.8248,17164.2496,-1.0,-1.0,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t60_i15_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t60_i15_r02.log
mxint8_add_v2,mxint8_add,full_sum_v2,60,15,3,0,solved,solved,True,10,15,15,295.2399606779218,60.08905944786966,664684,183181,337.28584456443787,44,780,0,0,45.169,22.1391,17268.498,-1.0,-1.0,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t60_i15_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t60_i15_r03.log
mxint8_add_v2,mxint8_add,full_sum_v2,60,30,1,0,solved,solved,True,9,30,30,1059.0772306732833,60.088977398350835,876876,277029,1101.144607782364,42,723,0,0,42.569,23.4913,16984.209899999998,-1.0,-1.0,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t60_i30_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse/raw/mxint8_add_v2_t60_i30_r01.log
