benchmark,timeout,num_iterations,runs,solve_successes,solve_rate,mean_solver_runtime_s,mean_wall_seconds,mean_accepted_constraints,mean_accuracy_exact_match,mean_within_rel_pct,mean_luts,mean_fmax_mhz,mean_latency_ns,mean_adp_lut_ns,accuracy_best_pct,area_best_luts,latency_best_ns,adp_best_lut_ns_ref,accuracy_retention,accuracy_loss_pct,area_norm_to_best,latency_norm_to_best,adp_norm_to_best,area_overhead_pct,latency_overhead_pct,adp_overhead_pct,is_pareto,is_recommended,selection_reason,hw_quality_candidate,hw_quality_exclusion_reason
fp32_add_sub,30,15,3,3,1.0,0.29116580076515675,1.7570080757141113,15.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_add_sub,30,30,3,3,1.0,0.6779294727991024,3.110833724339803,30.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_add_sub,60,15,3,3,1.0,0.29116760691006977,1.7533752918243408,15.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_add_sub,60,30,3,3,1.0,0.6798598946382602,3.126914103825887,30.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_add_sub,180,15,3,3,1.0,0.28953658665219945,1.7501397927602131,15.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_add_sub,180,30,3,3,1.0,0.6784010951717695,3.127279758453369,30.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_add_v2,30,15,3,3,1.0,64.31456195438902,106.83144172032674,10.333333333333334,,,647.3333333333334,239.292,4.179,2705.206,,647.3333333333334,4.179,2705.206,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
fp32_add_v2,30,30,3,3,1.0,929.9342657290399,972.379125992457,15.0,,,744.3333333333334,239.292,4.179,3110.569000000001,,647.3333333333334,4.179,2705.206,,,1.1498455200823894,1.0,1.1498455200823896,14.984552008238929,0.0,14.984552008238957,False,False,,False,missing_accuracy
fp32_add_v2,60,15,3,3,1.0,104.25647261055808,146.7507791519165,10.333333333333334,,,647.3333333333334,239.292,4.179,2705.206,,647.3333333333334,4.179,2705.206,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
fp32_add_v2,60,30,3,3,1.0,1590.2350337797154,1632.780331214269,17.666666666666668,,,701.6666666666666,239.292,4.179,2932.265000000001,,647.3333333333334,4.179,2705.206,,,1.083934088568486,1.0,1.0839340885684863,8.393408856848598,0.0,8.393408856848634,False,False,,False,missing_accuracy
fp32_add_v2,180,15,3,3,1.0,264.1459069494158,306.7309828599294,10.333333333333334,,,647.3333333333334,239.292,4.179,2705.206,,647.3333333333334,4.179,2705.206,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
fp32_add_v2,180,30,3,3,1.0,4478.761179211239,4521.3651846249895,18.0,,,745.6666666666666,239.292,4.179,3116.141,,647.3333333333334,4.179,2705.206,,,1.1519052523171986,1.0,1.1519052523171986,15.190525231719862,0.0,15.190525231719873,False,False,,False,missing_accuracy
fp32_mul_sub,30,15,3,3,1.0,0.22107601972917715,1.7786109447479248,15.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_mul_sub,30,30,3,3,1.0,0.45967288812001544,2.7622708479563394,30.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_mul_sub,60,15,3,3,1.0,0.2208942286670208,1.7855923970540364,15.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_mul_sub,60,30,3,3,1.0,0.4622025502224763,2.761812448501587,30.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_mul_sub,180,15,3,3,1.0,0.22275292500853539,1.7718056042989094,15.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_mul_sub,180,30,3,3,1.0,0.46206215893228847,2.7468650341033936,30.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_mul_v2,30,15,3,3,1.0,0.7190112757186095,42.80378524462382,15.0,,,140.0,87.283,11.457,1603.9800000000002,,140.0,11.457,1603.9800000000002,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
fp32_mul_v2,30,30,3,3,1.0,1.825881343955795,43.83471171061198,30.0,,,140.0,87.283,11.457,1603.9800000000002,,140.0,11.457,1603.9800000000002,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
fp32_mul_v2,60,15,3,3,1.0,0.7179896676292022,42.77448614438375,15.0,,,140.0,87.283,11.457,1603.9800000000002,,140.0,11.457,1603.9800000000002,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
fp32_mul_v2,60,30,3,3,1.0,1.8264020457863808,43.84852067629496,30.0,,,140.0,87.283,11.457,1603.9800000000002,,140.0,11.457,1603.9800000000002,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
fp32_mul_v2,180,15,3,3,1.0,0.7188271582126617,42.77452309926351,15.0,,,140.0,87.283,11.457,1603.9800000000002,,140.0,11.457,1603.9800000000002,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
fp32_mul_v2,180,30,3,3,1.0,1.826030297204852,43.87847018241882,30.0,,,140.0,87.283,11.457,1603.9800000000002,,140.0,11.457,1603.9800000000002,,,1.0,1.0,1.0,0.0,0.0,0.0,False,False,,False,missing_accuracy
mxint8_add_sub,30,15,3,3,1.0,0.10439753532409668,2.743258476257324,3.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
mxint8_add_sub,30,30,3,3,1.0,0.21287215004364649,18.45079278945923,5.333333333333333,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
mxint8_add_sub,60,15,3,3,1.0,0.10480434261262417,2.74434757232666,3.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
mxint8_add_sub,60,30,3,3,1.0,0.21282488045593104,18.420958598454792,5.333333333333333,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
