benchmark,synth_target,component,timeout,num_iterations,repetition,driver_returncode,run_status,component_solve_status,solution_found,accepted_constraints,total_constraints,solver_attempts,solver_runtime_seconds_total,solver_runtime_seconds_max,enum_count_primary_total,enum_count_primary_last,wall_seconds,random_seed,luts,ffs,dsps,fmax_mhz,latency_ns,adp_lut_ns,accuracy_exact_match,within_rel_pct,abs_err_avg,abs_err_max,summary_path,log_path
mxint8_add_v2,mxint8_add,full_sum_v2,30,15,1,0,solved,solved,True,8,15,15,52.6584685575217,30.04561793245375,173295,70949,171.16839218139648,42,71,0,0,45.869,-1,-1.0,-1.0,0.8183,3.09344984375,48.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t30_i15_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t30_i15_r01.log
mxint8_add_v2,mxint8_add,full_sum_v2,30,15,2,0,solved,solved,True,7,15,15,142.35622419044375,30.04739848524332,581679,153574,259.45018792152405,43,66,0,0,43.812,-1,-1.0,-1.0,0.3122,16.2806209375,56.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t30_i15_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t30_i15_r02.log
mxint8_add_v2,mxint8_add,full_sum_v2,30,15,3,0,solved,solved,True,9,15,15,196.1158703584224,30.046710036695004,481503,138132,314.0345106124878,44,103,0,0,45.169,-1,-1.0,-1.0,0.8952,1.7194621875,24.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t30_i15_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t30_i15_r03.log
mxint8_add_v2,mxint8_add,full_sum_v2,30,30,1,0,solved,solved,True,14,30,30,435.8397325295955,30.048527769744396,718127,119642,554.0476455688477,42,79,0,0,45.869,-1,-1.0,-1.0,0.8963,1.71955875,24.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t30_i30_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t30_i30_r01.log
mxint8_add_v2,mxint8_add,full_sum_v2,30,30,2,0,solved,solved,True,7,30,30,595.1866014637053,30.047322494909167,581679,153574,712.4495060443878,43,66,0,0,43.812,-1,-1.0,-1.0,0.3119,16.3705640625,56.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t30_i30_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t30_i30_r02.log
mxint8_add_v2,mxint8_add,full_sum_v2,30,30,3,0,solved,solved,True,11,30,30,642.8064005896449,30.048393923789263,760885,139796,761.7601673603058,44,103,0,0,45.169,-1,-1.0,-1.0,0.8959999999999999,1.7224625,24.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t30_i30_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t30_i30_r03.log
mxint8_add_v2,mxint8_add,full_sum_v2,60,15,1,0,solved,solved,True,8,15,15,160.60499867238104,60.06688098050654,599847,254733,279.88071966171265,42,72,0,0,42.569,-1,-1.0,-1.0,0.6901999999999999,7.02607,68.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t60_i15_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t60_i15_r01.log
mxint8_add_v2,mxint8_add,full_sum_v2,60,15,2,0,solved,solved,True,8,15,15,194.8598877452314,60.08474030904472,834741,253062,314.2989411354065,43,76,0,0,43.812,-1,-1.0,-1.0,0.8717,1.926039453125,24.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t60_i15_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t60_i15_r02.log
mxint8_add_v2,mxint8_add,full_sum_v2,60,15,3,0,solved,solved,True,10,15,15,293.18590550124645,60.08695996366441,664684,183181,411.4830389022827,44,103,0,0,45.169,-1,-1.0,-1.0,0.8939,1.7445828125,24.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t60_i15_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t60_i15_r03.log
mxint8_add_v2,mxint8_add,full_sum_v2,60,30,1,0,solved,solved,True,9,30,30,1059.2820052634925,60.089031632989645,876876,277029,1178.2412023544312,42,72,0,0,42.569,-1,-1.0,-1.0,0.6942,6.97139390625,68.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t60_i30_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/coarse_v2/raw/mxint8_add_v2_t60_i30_r01.log
