benchmark,timeout,num_iterations,runs,solve_successes,solve_rate,mean_solver_runtime_s,mean_wall_seconds,mean_accepted_constraints,mean_accuracy_exact_match,mean_within_rel_pct,mean_luts,mean_fmax_mhz,mean_latency_ns,mean_adp_lut_ns,accuracy_best_pct,area_best_luts,latency_best_ns,adp_best_lut_ns_ref,accuracy_retention,accuracy_loss_pct,area_norm_to_best,latency_norm_to_best,adp_norm_to_best,area_overhead_pct,latency_overhead_pct,adp_overhead_pct,is_pareto,is_recommended,selection_reason,hw_quality_candidate,hw_quality_exclusion_reason
fp32_add_sub,30,15,3,3,1.0,0.2860266212373972,1.734493096669515,15.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_add_sub,30,30,3,3,1.0,0.6670229857166609,3.084289312362671,30.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_add_sub,60,15,3,3,1.0,0.2887157474954923,1.7341299851735432,15.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_add_sub,60,30,3,3,1.0,0.6673619709908962,3.1000800132751465,30.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_add_sub,180,15,3,3,1.0,0.28600705911715824,1.7325326601664226,15.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_add_sub,180,30,3,3,1.0,0.6668169038991133,3.0951013565063477,30.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
fp32_add_v2,30,15,3,3,1.0,64.1627562964956,162.60189803441367,10.333333333333334,,0.36863333333333337,377.3333333333333,239.292,4.179,1576.8760000000002,0.4288,377.3333333333333,4.179,1576.8760000000002,0.8596859452736318,14.031405472636811,1.0,1.0,1.0,0.0,0.0,0.0,True,True,Pareto-optimal; within 1.00 ppt of best accuracy (0.4288); minimum ADP among remaining candidates,True,
fp32_add_v2,30,30,3,3,1.0,886.1335603315383,984.8522249857584,15.666666666666666,,0.38610000000000005,439.3333333333333,239.292,4.179,1835.9740000000002,0.4288,377.3333333333333,4.179,1576.8760000000002,0.900419776119403,9.958022388059693,1.1643109540636043,1.0,1.1643109540636043,16.431095406360424,0.0,16.43109540636042,False,False,,True,
fp32_add_v2,60,15,3,3,1.0,104.13838203189273,202.444859345754,10.333333333333334,,0.36863333333333337,377.3333333333333,239.292,4.179,1576.8760000000002,0.4288,377.3333333333333,4.179,1576.8760000000002,0.8596859452736318,14.031405472636811,1.0,1.0,1.0,0.0,0.0,0.0,True,False,,True,
fp32_add_v2,60,30,3,3,1.0,1589.918061259513,1688.8129918575287,17.666666666666668,,0.3897666666666666,409.0,239.292,4.179,1709.211,0.4288,377.3333333333333,4.179,1576.8760000000002,0.9089707711442784,9.10292288557216,1.083922261484099,1.0,1.0839222614840989,8.3922261484099,0.0,8.39222614840988,True,False,,True,
fp32_add_v2,180,15,3,3,1.0,264.28247600297135,362.7248598734538,10.333333333333334,,0.36863333333333337,377.3333333333333,239.292,4.179,1576.8760000000002,0.4288,377.3333333333333,4.179,1576.8760000000002,0.8596859452736318,14.031405472636811,1.0,1.0,1.0,0.0,0.0,0.0,True,False,,True,
fp32_add_v2,180,30,3,3,1.0,4473.363636747003,4572.353025356929,18.0,,0.4288,435.3333333333333,239.292,4.179,1819.258,0.4288,377.3333333333333,4.179,1576.8760000000002,1.0,0.0,1.1537102473498233,1.0,1.1537102473498233,15.371024734982333,0.0,15.371024734982319,True,False,,True,
fp32_mul_sub,30,15,3,3,1.0,0.21975564459959665,1.7669782638549805,15.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
