benchmark,timeout,num_iterations,runs,solve_successes,solve_rate,mean_solver_runtime_s,mean_wall_seconds,mean_accepted_constraints,mean_accuracy_exact_match,mean_within_rel_pct,mean_luts,mean_fmax_mhz,mean_latency_ns,mean_adp_lut_ns,accuracy_best_pct,area_best_luts,latency_best_ns,adp_best_lut_ns_ref,accuracy_retention,accuracy_loss_pct,area_norm_to_best,latency_norm_to_best,adp_norm_to_best,area_overhead_pct,latency_overhead_pct,adp_overhead_pct,is_pareto,is_recommended,selection_reason,hw_quality_candidate,hw_quality_exclusion_reason
fp32_add,30,20,3,3,1.0,125.10646495036781,225.33073925971985,8.333333333333334,,0.2885666666666667,339.3333333333333,203.96666666666667,5.286333333333333,1772.4206666666669,0.3458666666666667,41.0,5.286333333333333,1772.4206666666669,0.8343292212798766,16.56707787201234,8.276422764227641,1.0,1.0,727.6422764227642,0.0,0.0,True,True,Pareto-optimal; within 1.00 ppt of best accuracy (0.3459); minimum ADP among remaining candidates,True,
fp32_add_sub,60,10,3,3,1.0,0.18818630029757819,107.2015392780304,10.0,,0.8764,424.6666666666667,239.177,4.181,1775.5313333333334,1.0,424.6666666666667,4.181,1775.5313333333334,0.8764,12.360000000000005,1.0,1.0,1.0,0.0,0.0,0.0,True,True,Pareto-optimal; within 1.00 ppt of best accuracy (1.0000); minimum ADP among remaining candidates,True,
fp32_add_v1,300,10,3,3,1.0,1363.2854017894715,1459.7451972166698,6.0,,0.0385,102.0,133.316,7.501,765.1020000000002,0.10203333333333335,80.0,7.501,765.1020000000002,0.37732767069585094,62.26723293041491,1.275,1.0,1.0,27.5,0.0,0.0,True,True,Pareto-optimal; within 1.00 ppt of best accuracy (0.1020); minimum ADP among remaining candidates,True,
fp32_mul,120,10,3,3,1.0,0.41541762463748455,91.19738070170085,10.0,,0.9046,32.0,87.283,11.457,366.624,0.9046,32.0,11.457,366.624,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,Pareto-optimal; within 1.00 ppt of best accuracy (0.9046); minimum ADP among remaining candidates,True,
fp32_mul_sub,120,10,3,3,1.0,0.1461642893652121,95.29140996932983,10.0,,0.9046,32.0,74.355,13.449,430.368,0.9046,32.0,13.449,430.368,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,Pareto-optimal; within 1.00 ppt of best accuracy (0.9046); minimum ADP among remaining candidates,True,
fp32_mul_v1,30,10,3,3,1.0,55.00595942263802,146.95440657933554,5.0,,0.6698,20.333333333333332,117.83399999999999,8.940666666666667,196.85299999999998,0.9046,20.333333333333332,8.940666666666667,196.85299999999998,0.7404377625469821,25.95622374530179,1.0,1.0,1.0,0.0,0.0,0.0,True,True,Pareto-optimal; within 1.00 ppt of best accuracy (0.9046); minimum ADP among remaining candidates,True,
mxint8_add,60,15,3,3,1.0,152.39808296225965,269.5237482388814,5.666666666666667,,0.45249999999999996,51.333333333333336,51.935333333333325,20.240033333333333,1114.4666333333332,0.6456666666666666,50.333333333333336,20.240033333333333,1114.4666333333332,0.7008260196179659,29.91739803820341,1.0198675496688743,1.0,1.0,1.9867549668874172,0.0,0.0,True,True,Pareto-optimal; within 1.00 ppt of best accuracy (0.6457); minimum ADP among remaining candidates,True,
mxint8_add_sub,60,30,3,3,1.0,0.22461996041238308,128.8301201661428,28.666666666666668,,0.6758000000000001,59.0,34.05,29.3686,1732.7474,0.6768,59.0,29.3686,1732.7474,0.9985224586288418,0.14775413711582297,1.0,1.0,1.0,0.0,0.0,0.0,True,True,Pareto-optimal; within 1.00 ppt of best accuracy (0.6768); minimum ADP among remaining candidates,True,
mxint8_add_v1,30,15,3,3,1.0,289.7874513665835,407.9545979499817,5.666666666666667,,0.4762333333333333,40.666666666666664,65.68833333333332,16.905933333333333,720.1459666666666,0.4762333333333333,40.333333333333336,16.45226666666667,720.1459666666666,1.0,0.0,1.0082644628099173,1.0275747212136928,1.0,0.8264462809917238,2.7574721213692737,0.0,True,True,Pareto-optimal; within 1.00 ppt of best accuracy (0.4762); minimum ADP among remaining candidates,True,
mxint8_mul,180,20,3,3,1.0,27.924257988731068,146.89040994644165,9.666666666666666,,0.7130666666666666,17.666666666666668,343.4953333333333,2.9906666666666664,51.099999999999994,0.7130666666666666,17.666666666666668,2.9906666666666664,51.099999999999994,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,Pareto-optimal; within 1.00 ppt of best accuracy (0.7131); minimum ADP among remaining candidates,True,
mxint8_mul_sub,180,10,3,3,1.0,0.04855005070567131,525.3292249838511,4.666666666666667,,0.5252,30.0,119.89,8.341,250.23,0.769,30.0,8.341,250.23,0.6829648894668401,31.703511053315996,1.0,1.0,1.0,0.0,0.0,0.0,True,True,Pareto-optimal; within 1.00 ppt of best accuracy (0.7690); minimum ADP among remaining candidates,True,
mxint8_mul_v1,30,15,3,3,1.0,221.9629301329454,338.17158071200055,7.0,,0.8606333333333334,23.0,427.3500000000001,2.34,53.81999999999999,0.8606333333333334,23.0,2.34,53.81999999999999,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,Pareto-optimal; within 1.00 ppt of best accuracy (0.8606); minimum ADP among remaining candidates,True,
