benchmark,synth_target,component,timeout,num_iterations,repetition,driver_returncode,run_status,component_solve_status,solution_found,accepted_constraints,total_constraints,solver_attempts,solver_runtime_seconds_total,solver_runtime_seconds_max,enum_count_primary_total,enum_count_primary_last,wall_seconds,random_seed,luts,ffs,dsps,fmax_mhz,latency_ns,adp_lut_ns,accuracy_exact_match,within_rel_pct,abs_err_avg,abs_err_max,summary_path,log_path
fp32_add_v1,fp32_add,full_sum_v2,30,10,1,0,solved,solved,True,4,10,10,203.7495553549379,30.041429258883,1757035,864512,303.3536949157715,42,80,0,0,33.542,29.8134,2385.072,0.0,0.0159,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i10_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i10_r01.log
fp32_add_v1,fp32_add,full_sum_v2,30,10,2,0,solved,solved,True,4,10,10,201.45910988375545,30.041611367836595,1757035,864512,300.84109258651733,43,80,0,0,33.542,29.8134,2385.072,0.0,0.0159,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i10_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i10_r02.log
fp32_add_v1,fp32_add,full_sum_v2,30,10,3,0,solved,solved,True,4,10,10,201.95436185225844,30.04105406627059,1757035,864512,301.39601159095764,44,80,0,0,33.542,29.8134,2385.072,0.0,0.0159,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i10_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i10_r03.log
fp32_add_v1,fp32_add,full_sum_v2,30,15,1,0,solved,solved,True,4,15,15,353.09738899208605,30.04211492277682,1757035,864512,452.8082649707794,42,80,0,0,33.542,29.8134,2385.072,0.0,0.0159,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i15_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i15_r01.log
fp32_add_v1,fp32_add,full_sum_v2,30,15,2,0,solved,solved,True,4,15,15,353.30592422932386,30.048364583402872,1757035,864512,453.57534193992615,43,80,0,0,33.542,29.8134,2385.072,0.0,0.0159,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i15_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i15_r02.log
fp32_add_v1,fp32_add,full_sum_v2,30,15,3,0,solved,solved,True,5,15,15,351.32177718915045,30.041951755061746,2621844,864809,456.5645635128021,44,288,0,0,139.063,7.191,2071.008,0.0321,0.053099999999999994,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i15_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i15_r03.log
fp32_add_v1,fp32_add,full_sum_v2,30,20,1,0,solved,solved,True,4,20,20,503.62258173525333,30.062555538490415,1757035,864512,603.2899339199066,42,80,0,0,33.542,29.8134,2385.072,0.0,0.0159,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i20_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i20_r01.log
fp32_add_v1,fp32_add,full_sum_v2,30,20,2,0,solved,solved,True,4,20,20,501.8519607335329,30.04590673185885,1757035,864512,601.1694145202637,43,80,0,0,33.542,29.8134,2385.072,0.0,0.0159,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i20_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i20_r02.log
fp32_add_v1,fp32_add,full_sum_v2,30,20,3,0,solved,solved,True,5,20,20,499.8573376890272,30.046526469290257,2621844,864809,604.9398608207703,44,288,0,0,139.063,7.191,2071.008,0.0321,0.053099999999999994,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i20_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i20_r03.log
fp32_add_v1,fp32_add,full_sum_v2,30,30,1,0,solved,solved,True,4,30,30,801.2547334842384,30.047163231298327,1757035,864512,900.1968159675598,42,80,0,0,33.542,29.8134,2385.072,0.0,0.0159,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i30_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v4/raw/fp32_add_v1_t30_i30_r01.log
