benchmark,synth_target,component,timeout,num_iterations,repetition,driver_returncode,run_status,component_solve_status,solution_found,accepted_constraints,total_constraints,solver_attempts,solver_runtime_seconds_total,solver_runtime_seconds_max,enum_count_primary_total,enum_count_primary_last,wall_seconds,random_seed,luts,ffs,dsps,accuracy_exact_match,within_rel_pct,abs_err_avg,abs_err_max,summary_path,log_path
mxint8_add_combined,mxint8_add,full_sum_combined,10,5,1,0,solved,solved,True,1,5,5,0.21956904791295528,0.08591730892658234,3231,1798,68.22062182426453,42,124,0,0,-1.0,0.053,54.17890796875,192.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i5_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i5_r01.log
mxint8_add_combined,mxint8_add,full_sum_combined,10,5,2,0,failed,fail,False,0,5,5,0.1833067573606968,0.04151282459497452,3002,613,0.9960634708404541,43,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i5_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i5_r02.log
mxint8_add_combined,mxint8_add,full_sum_combined,10,5,3,0,failed,fail,False,0,5,5,0.15597342140972614,0.04035879485309124,1842,572,0.970057487487793,44,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i5_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i5_r03.log
mxint8_add_combined,mxint8_add,full_sum_combined,10,15,1,0,solved,solved,True,7,15,15,18.694030076265335,10.01744006946683,102224,34924,90.10275077819824,42,454,0,0,-1.0,1.0,0.3545431640625,4.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i15_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i15_r01.log
mxint8_add_combined,mxint8_add,full_sum_combined,10,15,2,0,solved,solved,True,2,15,15,0.57028828561306,0.048919523134827614,7967,106,69.03795671463013,43,213,0,0,-1.0,0.0625,54.30195734375,144.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i15_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i15_r02.log
mxint8_add_combined,mxint8_add,full_sum_combined,10,15,3,0,solved,solved,True,2,15,15,0.7086663078516722,0.11697692424058914,11357,2245,70.39486527442932,44,68,0,0,-1.0,0.1557,52.6447890625,136.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i15_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i15_r03.log
mxint8_add_combined,mxint8_add,full_sum_combined,10,30,1,0,solved,solved,True,15,30,30,129.87633416242898,10.017384007573128,485187,46344,201.48151993751526,42,454,0,0,-1.0,1.0,0.349564375,4.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i30_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i30_r01.log
mxint8_add_combined,mxint8_add,full_sum_combined,10,30,2,0,solved,solved,True,11,30,30,70.67864505387843,10.018167639151216,92927,16900,142.2811586856842,43,454,0,0,-1.0,1.0,0.3528553125,4.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i30_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i30_r02.log
mxint8_add_combined,mxint8_add,full_sum_combined,10,30,3,0,solved,solved,True,4,30,30,4.40985432267189,0.8392677716910839,64975,4508,72.15376281738281,44,137,0,0,-1.0,0.3072,15.5344540625,56.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i30_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t10_i30_r03.log
mxint8_add_combined,mxint8_add,full_sum_combined,60,5,1,0,solved,solved,True,1,5,5,0.217159666121006,0.08647289872169495,3231,1798,69.96479678153992,42,124,0,0,-1.0,0.0527,54.29118662109375,192.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t60_i5_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/quality_joint/raw/mxint8_add_combined_t60_i5_r01.log
