benchmark,dtype,variant,match_bits,relax_mode,budget,repetition,random_seed,driver_returncode,run_status,component_solve_status,solution_found,accepted_constraints,total_constraints,accepted_strict,accepted_final_strict,accepted_stage1,accepted_stage0,accepted_used_relaxation,true_skips,invalid_ground_truth_skips,used_relaxation,attempt_status_counts,solver_attempts,solver_runtime_seconds_total,solver_runtime_seconds_max,enum_count_primary_total,wall_seconds,luts,ffs,dsps,fmax_mhz,latency_ns,adp_lut_ns,within_rel_pct,abs_err_avg,abs_err_max,error_samples_npz
fp32_add,FP32,V1,9,fixed,nominal,1,12345,0,solved,solved,True,8,30,8,8,0,0,0,22,0,False,"{'infeasible': 1, 'solved': 8, 'timeout': 21}",30,4256.558004593477,180.17173281498253,11692324,4353.403893709183,90,0,0,30.147,33.1708,2985.372,0.2427,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_9b_r01.npz
fp32_add,FP32,V1,9,fixed,nominal,2,12346,0,solved,solved,True,11,30,11,11,0,0,0,19,0,False,"{'infeasible': 1, 'solved': 11, 'timeout': 18}",30,4119.310890994966,180.17618044279516,19102413,4167.061477661133,-1,-1,-1,-1,-1,-1.0,0.2427,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_9b_r02.npz
fp32_add,FP32,V1,9,fixed,nominal,3,12347,0,solved,solved,True,10,30,10,10,0,0,0,20,0,False,"{'infeasible': 1, 'solved': 10, 'timeout': 19}",30,4187.503646006808,180.19440558180213,16329553,4284.260101318359,90,0,0,75.284,13.283,1195.47,0.2427,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_9b_r03.npz
fp32_add,FP32,V1,19,fixed,nominal,1,12345,0,solved,solved,True,7,30,7,7,0,0,0,23,0,False,"{'infeasible': 9, 'solved': 7, 'timeout': 14}",30,3033.129377320409,180.17274295166135,11707560,3134.338386774063,376,0,0,133.316,7.501,2820.376,0.004,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_19b_r01.npz
fp32_add,FP32,V1,19,fixed,nominal,2,12346,0,solved,solved,True,8,30,8,8,0,0,0,22,0,False,"{'infeasible': 11, 'solved': 8, 'timeout': 11}",30,2197.392340552062,180.14668091200292,2115263,2300.5972983837128,358,0,0,133.316,7.501,2685.358,0.0038,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_19b_r02.npz
fp32_add,FP32,V1,19,fixed,nominal,3,12347,0,solved,solved,True,6,30,6,6,0,0,0,24,0,False,"{'infeasible': 9, 'solved': 6, 'timeout': 15}",30,3085.315002212301,180.1717971228063,8455810,3186.3038380146027,376,0,0,133.316,7.501,2820.376,0.004,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_19b_r03.npz
fp32_add,FP32,V1,24,fixed,nominal,1,12345,0,solved,solved,True,7,30,7,7,0,0,0,23,0,False,"{'infeasible': 9, 'solved': 7, 'timeout': 14}",30,3038.8417348898947,180.15867155976593,11707560,3140.2221279144287,376,0,0,133.316,7.501,2820.376,0.004,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_24b_r01.npz
fp32_add,FP32,V1,24,fixed,nominal,2,12346,0,solved,solved,True,8,30,8,8,0,0,0,22,0,False,"{'infeasible': 11, 'solved': 8, 'timeout': 11}",30,2195.827459618449,180.14802740328014,2115263,2298.289585828781,358,0,0,133.316,7.501,2685.358,0.0038,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_24b_r02.npz
fp32_add,FP32,V1,24,fixed,nominal,3,12347,0,solved,solved,True,6,30,6,6,0,0,0,24,0,False,"{'infeasible': 9, 'solved': 6, 'timeout': 15}",30,3079.3264179248363,180.1732929777354,8455810,3180.5305519104004,376,0,0,133.316,7.501,2820.376,0.004,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_24b_r03.npz
fp32_add,FP32,V1,28,fixed,nominal,1,12345,0,solved,solved,True,7,30,7,7,0,0,0,23,0,False,"{'infeasible': 9, 'solved': 7, 'timeout': 14}",30,3038.673893522471,180.17278114892542,11707560,3140.051573753357,376,0,0,133.316,7.501,2820.376,0.004,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_28b_r01.npz
