benchmark,dtype,variant,match_bits,relax_mode,budget,repetition,random_seed,driver_returncode,run_status,component_solve_status,solution_found,accepted_constraints,total_constraints,accepted_strict,accepted_final_strict,accepted_stage1,accepted_stage0,accepted_used_relaxation,true_skips,invalid_ground_truth_skips,used_relaxation,attempt_status_counts,solver_attempts,solver_runtime_seconds_total,solver_runtime_seconds_max,enum_count_primary_total,wall_seconds,luts,ffs,dsps,fmax_mhz,latency_ns,adp_lut_ns,within_rel_pct,abs_err_avg,abs_err_max,error_samples_npz
mxint8_add,MXINT8,V1,4,fixed,nominal,1,12345,0,solved,solved,True,11,30,11,11,0,0,0,19,0,False,"{'solved': 11, 'timeout': 19}",30,4119.312345186248,180.23206030018628,4368794,4158.798393249512,-1,-1,-1,-1,-1,-1.0,1.0,0.209079765625,0.875,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_4b_r01.npz
mxint8_add,MXINT8,V1,4,fixed,nominal,2,12346,0,solved,solved,True,10,30,10,10,0,0,0,20,0,False,"{'solved': 10, 'timeout': 20}",30,4331.276695944369,180.23733535595238,4615807,4381.916818618774,-1,-1,-1,-1,-1,-1.0,0.9997,0.3496149462890625,79.375,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_4b_r02.npz
mxint8_add,MXINT8,V1,4,fixed,nominal,3,12347,0,solved,solved,True,16,30,16,16,0,0,0,14,0,False,"{'solved': 16, 'timeout': 14}",30,3764.4451311249286,180.23188142850995,5218216,3885.8918862342834,47,0,0,-1,-1,-1.0,1.0,0.205274208984375,0.75,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_4b_r03.npz
mxint8_add,MXINT8,V1,5,fixed,nominal,1,12345,0,solved,solved,True,11,30,11,11,0,0,0,19,0,False,"{'solved': 11, 'timeout': 19}",30,4115.427693162113,180.25091823749244,4368794,4237.588254928589,45,0,0,-1,-1,-1.0,1.0,0.20840115234375,0.875,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_5b_r01.npz
mxint8_add,MXINT8,V1,5,fixed,nominal,2,12346,0,solved,solved,True,10,30,10,10,0,0,0,20,0,False,"{'solved': 10, 'timeout': 20}",30,4344.559791639447,180.24259568937123,4604393,4466.251935958862,35,0,0,-1,-1,-1.0,0.9994,0.3717000830078125,79.375,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_5b_r02.npz
mxint8_add,MXINT8,V1,5,fixed,nominal,3,12347,0,solved,solved,True,14,30,14,14,0,0,0,16,0,False,"{'solved': 14, 'timeout': 16}",30,3851.3887108042836,180.24874759465456,4216983,3972.9473996162415,49,0,0,56.208,17.7911,871.7639,1.0,0.20540158203125,0.75,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_5b_r03.npz
mxint8_add,MXINT8,V1,6,fixed,nominal,1,12345,0,solved,solved,True,10,30,10,10,0,0,0,20,0,False,"{'solved': 10, 'timeout': 20}",30,4139.4153514020145,180.24578853696585,3529995,4261.697511911392,45,0,0,59.478,16.8129,756.5804999999999,1.0,0.2080022705078125,0.875,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_6b_r01.npz
mxint8_add,MXINT8,V1,6,fixed,nominal,2,12346,0,solved,solved,True,7,30,7,7,0,0,0,23,0,False,"{'solved': 7, 'timeout': 23}",30,4644.042780082673,180.252672765404,3075679,4765.9188759326935,44,0,0,67.476,14.8201,652.0844,1.0,0.684463828125,3.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_6b_r02.npz
mxint8_add,MXINT8,V1,6,fixed,nominal,3,12347,0,solved,solved,True,7,30,7,7,0,0,0,23,0,False,"{'solved': 7, 'timeout': 23}",30,4509.484215149656,180.23740837164223,2414742,4631.011999607086,48,0,0,56.208,17.7911,853.9728,1.0,0.840315888671875,2.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_6b_r03.npz
mxint8_add,MXINT8,V1,7,fixed,nominal,1,12345,0,solved,solved,True,7,30,7,7,0,0,0,23,0,False,"{'solved': 7, 'timeout': 23}",30,4671.407250858843,180.2520656567067,4731462,4794.037116289139,76,0,0,59.478,16.8129,1277.7803999999999,1.0,0.67408224609375,3.75,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_7b_r01.npz
mxint8_add,MXINT8,V1,7,fixed,nominal,2,12346,0,solved,solved,True,4,30,4,4,0,0,0,26,0,False,"{'solved': 4, 'timeout': 26}",30,4865.042018830776,180.2539442628622,1343443,4994.0581748485565,62,0,0,49.366,20.2569,1255.9278000000002,1.0,0.305255029296875,2.625,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_7b_r02.npz
mxint8_add,MXINT8,V1,7,fixed,nominal,3,12347,0,solved,solved,True,6,30,6,6,0,0,0,24,0,False,"{'solved': 6, 'timeout': 24}",30,4757.948005054146,180.24873790703714,2918958,4880.633173704147,48,0,0,56.208,17.7911,853.9728,1.0,0.160937685546875,0.75,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_7b_r03.npz
mxint8_add,MXINT8,V1,8,fixed,nominal,1,12345,0,solved,solved,True,6,30,6,6,0,0,0,24,0,False,"{'solved': 6, 'timeout': 24}",30,4734.0783480368555,180.28031207062304,4683702,4855.997695684433,76,0,0,-1,-1,-1.0,1.0,0.675021728515625,3.75,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_8b_r01.npz
mxint8_add,MXINT8,V1,8,fixed,nominal,2,12346,0,solved,solved,True,6,30,6,6,0,0,0,24,0,False,"{'fail': 1, 'solved': 6, 'timeout': 23}",30,4432.8700842466205,180.2735130842775,3349798,4553.854854822159,32,0,0,65.142,15.3511,491.2352,0.9962000000000001,1.2038891064453126,111.984375,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_8b_r02.npz
mxint8_add,MXINT8,V1,8,fixed,nominal,3,12347,0,solved,solved,True,5,30,5,5,0,0,0,25,0,False,"{'fail': 3, 'solved': 5, 'timeout': 22}",30,4215.1589193772525,180.26686686649919,2573346,4336.354864835739,41,0,0,-1,-1,-1.0,1.0,1.063322080078125,2.5,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_8b_r03.npz
mxint8_add,MXINT8,V1,8,staged,nominal,1,12345,0,solved,solved,True,6,30,6,6,0,0,0,24,0,False,"{'solved': 6, 'timeout': 48}",54,9058.348391814157,180.28174374625087,4683702,9179.761128664017,76,0,0,59.478,16.8129,1277.7803999999999,1.0,0.674575771484375,3.75,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_staged_r01.npz
mxint8_add,MXINT8,V1,8,staged,nominal,2,12346,0,solved,solved,True,5,30,3,3,1,1,2,25,0,True,"{'fail': 2, 'infeasible': 2, 'solved': 6, 'timeout': 51}",61,9807.278475135565,180.26004789583385,4675490,9928.083728790283,49,0,0,61.793,16.1831,792.9719,1.0,0.90858423828125,5.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_staged_r02.npz
mxint8_add,MXINT8,V1,8,staged,nominal,3,12347,0,solved,solved,True,6,30,5,5,1,0,1,24,0,True,"{'fail': 3, 'infeasible': 4, 'solved': 6, 'timeout': 44}",57,8279.843103155494,180.24881378747523,3076424,8401.087201356888,41,0,0,64.029,15.6179,640.3339,1.0,1.063698046875,2.5,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_staged_r03.npz
mxint8_add,MXINT8,V2,4,fixed,nominal,1,12345,0,solved,solved,True,10,30,10,10,0,0,0,20,0,False,"{'infeasible': 4, 'solved': 10, 'timeout': 16}",30,3199.585349045694,180.1704303305596,1059576,3330.8859198093414,50,0,0,45.169,22.1391,1106.955,1.0,1.562335068359375,3.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_4b_r01.npz
mxint8_add,MXINT8,V2,4,fixed,nominal,2,12346,0,solved,solved,True,16,30,16,16,0,0,0,14,0,False,"{'infeasible': 13, 'solved': 16, 'timeout': 1}",30,599.5270967725664,180.1561504174024,1237487,720.3796377182007,66,0,0,45.169,22.1391,1461.1806,1.0,1.429167734375,3.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_4b_r02.npz
