benchmark,dtype,variant,match_bits,relax_mode,budget,repetition,random_seed,driver_returncode,run_status,component_solve_status,solution_found,accepted_constraints,total_constraints,accepted_strict,accepted_final_strict,accepted_stage1,accepted_stage0,accepted_used_relaxation,true_skips,invalid_ground_truth_skips,used_relaxation,attempt_status_counts,solver_attempts,solver_runtime_seconds_total,solver_runtime_seconds_max,enum_count_primary_total,wall_seconds,luts,ffs,dsps,fmax_mhz,latency_ns,adp_lut_ns,within_rel_pct,abs_err_avg,abs_err_max,error_samples_npz
mxint8_add,MXINT8,V1,4,fixed,nominal,1,12345,0,solved,solved,True,11,30,11,11,0,0,0,19,0,False,"{'solved': 11, 'timeout': 19}",30,4127.868370134383,180.23029480688274,4368794,4249.432336091995,45,0,0,59.478,16.8129,756.5804999999999,0.0121,75.91983900390625,128.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_4b_r01.npz
mxint8_add,MXINT8,V1,4,fixed,nominal,2,12346,0,solved,solved,True,10,30,10,10,0,0,0,20,0,False,"{'solved': 10, 'timeout': 20}",30,4340.400549722835,180.23769861459732,4615807,4462.193106889725,32,0,0,67.476,14.8201,474.2432,0.019799999999999998,74.4552058251953,128.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_4b_r02.npz
mxint8_add,MXINT8,V1,4,fixed,nominal,3,12347,0,solved,solved,True,16,30,16,16,0,0,0,14,0,False,"{'solved': 16, 'timeout': 14}",30,3763.712108567357,180.2333537656814,5218216,3885.0693185329437,47,0,0,56.208,17.7911,836.1817,0.0126,75.33628831542968,128.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_4b_r03.npz
mxint8_add,MXINT8,V1,5,fixed,nominal,1,12345,0,solved,solved,True,11,30,11,11,0,0,0,19,0,False,"{'solved': 11, 'timeout': 19}",30,4116.436799123883,180.25213960185647,4368794,4237.879908084869,45,0,0,59.478,16.8129,756.5804999999999,0.013500000000000002,75.73936547363282,128.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_5b_r01.npz
mxint8_add,MXINT8,V1,5,fixed,nominal,2,12346,0,solved,solved,True,11,30,11,11,0,0,0,19,0,False,"{'solved': 11, 'timeout': 19}",30,4325.449451861903,180.2368906661868,5518778,4446.724117040634,35,0,0,67.476,14.8201,518.7035,0.0195,74.61800417480468,128.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_5b_r02.npz
mxint8_add,MXINT8,V1,5,fixed,nominal,3,12347,0,solved,solved,True,14,30,14,14,0,0,0,16,0,False,"{'solved': 14, 'timeout': 16}",30,3842.01687913388,180.25113536790013,4216983,3963.4749388694763,49,0,0,56.208,17.7911,871.7639,0.0202,74.36418076660156,128.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_5b_r03.npz
mxint8_add,MXINT8,V1,6,fixed,nominal,1,12345,0,solved,solved,True,10,30,10,10,0,0,0,20,0,False,"{'solved': 10, 'timeout': 20}",30,4146.8017474692315,180.24653507582843,3529995,4268.831169843674,45,0,0,59.478,16.8129,756.5804999999999,0.0129,75.81079785644532,128.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_6b_r01.npz
mxint8_add,MXINT8,V1,6,fixed,nominal,2,12346,0,solved,solved,True,7,30,7,7,0,0,0,23,0,False,"{'solved': 7, 'timeout': 23}",30,4652.830206163228,180.25068435631692,3075679,4774.771280527115,44,0,0,67.476,14.8201,652.0844,0.0183,67.249243046875,127.99609375,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_6b_r02.npz
mxint8_add,MXINT8,V1,6,fixed,nominal,3,12347,0,solved,solved,True,7,30,7,7,0,0,0,23,0,False,"{'solved': 7, 'timeout': 23}",30,4512.417267926037,180.23928892798722,2414742,4634.337565422058,48,0,0,56.208,17.7911,853.9728,0.1535,41.853965625,224.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_6b_r03.npz
mxint8_add,MXINT8,V1,7,fixed,nominal,1,12345,0,solved,solved,True,7,30,7,7,0,0,0,23,0,False,"{'solved': 7, 'timeout': 23}",30,4659.544451409951,180.2520507723093,4731462,4782.978086709976,76,0,0,59.478,16.8129,1277.7803999999999,0.3024,18.6614215625,128.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_7b_r01.npz
mxint8_add,MXINT8,V1,7,fixed,nominal,2,12346,0,solved,solved,True,4,30,4,4,0,0,0,26,0,False,"{'solved': 4, 'timeout': 26}",30,4864.305332455784,180.2526080608368,1343443,4987.579738855362,62,0,0,49.366,20.2569,1255.9278000000002,0.6325,10.400159926757812,84.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_7b_r02.npz
