benchmark,dtype,variant,relax_mode,budget,match_bits,n_reps,solve_rate,mean_accepted,mean_accepted_strict,mean_accepted_final_strict,mean_accepted_stage1,mean_accepted_stage0,mean_accepted_used_relaxation,mean_true_skips,mean_invalid_gt_skips,frac_reps_with_relaxation,mean_solver_attempts,mean_solver_runtime_total,mean_enum_count_total,mean_within_rel_pct,mean_luts,mean_fmax_mhz,mean_latency_ns,mean_adp_lut_ns,mean_wall_seconds
mxint8_add,MXINT8,V1,fixed,nominal,4,3,1.0,12.333333333333334,12.333333333333334,12.333333333333334,0,0,0,17.666666666666668,0,0.0,30,4077.3270094748586,4734272.333333333,0.014833333333333332,41.333333333333336,61.054,16.4747,689.0018,4198.8982538382215
mxint8_add,MXINT8,V1,fixed,nominal,5,3,1.0,12,12,12,0,0,0,18,0,0.0,30,4094.6343767065555,4701518.333333333,0.017733333333333334,43,61.054,16.4747,715.6826333333333,4216.02632133166
mxint8_add,MXINT8,V1,fixed,nominal,6,3,1.0,8,8,8,0,0,0,22,0,0.0,30,4437.3497405194985,3006805.3333333335,0.061566666666666665,45.666666666666664,61.054,16.4747,754.2125666666666,4559.313338597615
mxint8_add,MXINT8,V1,fixed,nominal,7,3,1.0,5.666666666666667,5.666666666666667,5.666666666666667,0,0,0,24.333333333333332,0,0.0,30,4761.504006465897,2997954.3333333335,0.4841,62,55.01733333333333,18.286966666666668,1129.227,4884.857614278793
mxint8_add,MXINT8,V1,fixed,nominal,8,3,1.0,5.666666666666667,5.666666666666667,5.666666666666667,0,0,0,24.333333333333332,0,0.0,30,4466.311013837035,3535615.3333333335,0.19483333333333333,49.666666666666664,62.882999999999996,15.9273,803.1165,4588.559506495793
mxint8_add,MXINT8,V1,staged,nominal,8,3,1.0,5.666666666666667,4.666666666666667,4.666666666666667,0.6666666666666666,0.3333333333333333,1,24.333333333333332,0,0.6666666666666666,57.333333333333336,9053.464819876477,4145205.3333333335,0.20836666666666667,55.333333333333336,61.766666666666666,16.204633333333334,903.6954,9175.486420790354
mxint8_add,MXINT8,V2,fixed,nominal,4,3,1.0,13.666666666666666,13.666666666666666,13.666666666666666,0,0,0,16.333333333333332,0,0.0,30,1722.4023992524792,1319238.3333333333,0.37783333333333335,67,44.71666666666666,22.367666666666665,1502.7478666666666,1854.1787740389507
mxint8_add,MXINT8,V2,fixed,nominal,5,3,1.0,15,15,15,0,0,0,15,0,0.0,30,1701.076317531988,1871256.6666666667,0.6858000000000001,85.33333333333333,44.26433333333333,22.596233333333334,1929.6595,1824.119977235794
mxint8_add,MXINT8,V2,fixed,nominal,6,3,1.0,9.666666666666666,9.666666666666666,9.666666666666666,0,0,0,20.333333333333332,0,0.0,30,1354.1582900385063,1045373,0.8015,77.33333333333333,44.35,22.581,1727.4360333333334,1475.2551861604054
mxint8_add,MXINT8,V2,fixed,nominal,7,3,1.0,9,9,9,0,0,0,21,0,0.0,30,1473.2127715492,1245295,0.8537,74.66666666666667,43.07633333333333,23.269233333333332,1743.1313666666667,1595.8555642763774
mxint8_add,MXINT8,V2,fixed,nominal,8,3,1.0,10.333333333333334,10.333333333333334,10.333333333333334,0,0,0,19.666666666666668,0,0.0,30,1226.2847180807341,1928382.3333333333,0.8594999999999999,72.33333333333333,41.961999999999996,23.936566666666668,1732.3623333333335,1346.592054605484
mxint8_add,MXINT8,V2,staged,nominal,8,3,1.0,10.666666666666666,10.333333333333334,10.333333333333334,0,0.3333333333333333,0.3333333333333333,19.333333333333332,0,0.3333333333333333,65,2354.829629485185,2500852.6666666665,0.8599333333333333,72.33333333333333,41.961999999999996,23.936566666666668,1732.3623333333335,2474.1297396818795
